Count,plate_number,fungi,day,mean,days
1,74,Colletotricum,1,4.04075,day1
1,73,Colletotricum,1,4.1135,day1
1,76,Colletotricum,1,4.35925,day1
1,75,Colletotricum,1,4.01275,day1
1,78,Colletotricum,1,3.72775,day1
1,81,Colletotricum,1,3.806,day1
1,77,Colletotricum,1,3.82325,day1
1,79,Colletotricum,1,4.263,day1
1,80,Colletotricum,1,4.25725,day1
2,74,Colletotricum,2,10.67225,day2
2,73,Colletotricum,2,11.338,day2
2,76,Colletotricum,2,11.2985,day2
2,75,Colletotricum,2,11.06225,day2
2,78,Colletotricum,2,11.02275,day2
2,81,Colletotricum,2,11.33075,day2
2,77,Colletotricum,2,11.04475,day2
2,79,Colletotricum,2,11.572,day2
2,80,Colletotricum,2,11.51375,day2
3,74,Colletotricum,3,17.3905,day3
3,73,Colletotricum,3,19.0595,day3
3,76,Colletotricum,3,18.369,day3
3,75,Colletotricum,3,18.555,day3
3,78,Colletotricum,3,18.67125,day3
3,81,Colletotricum,3,18.78,day3
3,77,Colletotricum,3,18.74125,day3
3,79,Colletotricum,3,19.45025,day3
3,80,Colletotricum,3,19.01575,day3
4,74,Colletotricum,4,21.9665,day4
4,73,Colletotricum,4,23.22425,day4
4,76,Colletotricum,4,19.81,day4
4,75,Colletotricum,4,26.05575,day4
4,78,Colletotricum,4,24.814,day4
4,81,Colletotricum,4,25.77175,day4
4,77,Colletotricum,4,24.34375,day4
4,79,Colletotricum,4,24.7755,day4
4,80,Colletotricum,4,24.1315,day4
5,74,Colletotricum,5,23.8575,day5
5,73,Colletotricum,5,25.9795,day5
5,76,Colletotricum,5,24.6275,day5
5,75,Colletotricum,5,34.95225,day5
5,78,Colletotricum,5,28.67375,day5
5,81,Colletotricum,5,34.833,day5
5,77,Colletotricum,5,27.04575,day5
5,79,Colletotricum,5,28.18575,day5
5,80,Colletotricum,5,28.1295,day5
1,96,Cercospora_s,1,0,day1
1,97,Cercospora_s,1,0,day1
1,95,Cercospora_s,1,0,day1
1,92,Cercospora_s,1,0,day1
1,91,Cercospora_s,1,0,day1
1,99,Cercospora_s,1,0,day1
1,98,Cercospora_s,1,0,day1
1,94,Cercospora_s,1,0,day1
1,93,Cercospora_s,1,0,day1
2,96,Cercospora_s,2,1.6615,day2
2,97,Cercospora_s,2,1.26625,day2
2,95,Cercospora_s,2,0.89925,day2
2,92,Cercospora_s,2,0.31825,day2
2,91,Cercospora_s,2,1.0365,day2
2,99,Cercospora_s,2,0.5555,day2
2,98,Cercospora_s,2,0,day2
2,94,Cercospora_s,2,0.59825,day2
2,93,Cercospora_s,2,0.5095,day2
3,96,Cercospora_s,3,2.93675,day3
3,97,Cercospora_s,3,2.308,day3
3,95,Cercospora_s,3,1.9775,day3
3,92,Cercospora_s,3,1.51725,day3
3,91,Cercospora_s,3,2.06875,day3
3,99,Cercospora_s,3,1.7025,day3
